2026-03-30 10:30:54,941 INFO    MainThread:1563709 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-30 10:30:54,942 INFO    MainThread:1563709 [wandb_setup.py:_flush():81] Configure stats pid to 1563709
2026-03-30 10:30:54,942 INFO    MainThread:1563709 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-30 10:30:54,942 INFO    MainThread:1563709 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /users/jmatthia/deep_learning/code/assignment_5/wandb/run-20260330_103054-68jhb5st/logs/debug.log
2026-03-30 10:30:54,942 INFO    MainThread:1563709 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /users/jmatthia/deep_learning/code/assignment_5/wandb/run-20260330_103054-68jhb5st/logs/debug-internal.log
2026-03-30 10:30:54,942 INFO    MainThread:1563709 [wandb_init.py:init():844] calling init triggers
2026-03-30 10:30:54,942 INFO    MainThread:1563709 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'model_type': 'swin_b', 'n_classes': 100, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.05, 'n_epochs': 50, 'patience': 10, '_wandb': {}}
2026-03-30 10:30:54,942 INFO    MainThread:1563709 [wandb_init.py:init():892] starting backend
2026-03-30 10:30:55,177 INFO    MainThread:1563709 [wandb_init.py:init():895] sending inform_init request
2026-03-30 10:30:55,182 INFO    MainThread:1563709 [wandb_init.py:init():903] backend started and connected
2026-03-30 10:30:55,201 INFO    MainThread:1563709 [wandb_init.py:init():973] updated telemetry
2026-03-30 10:30:55,202 INFO    MainThread:1563709 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-30 10:30:56,581 INFO    MainThread:1563709 [wandb_init.py:init():1042] starting run threads in backend
2026-03-30 10:30:56,648 INFO    MainThread:1563709 [wandb_run.py:_console_start():2524] atexit reg
2026-03-30 10:30:56,648 INFO    MainThread:1563709 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-30 10:30:56,648 INFO    MainThread:1563709 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-30 10:30:56,648 INFO    MainThread:1563709 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-30 10:30:56,652 INFO    MainThread:1563709 [wandb_init.py:init():1082] run started, returning control to user process
